date,Route,fatalities
2014-02-01,central,57.0
2014-02-01,western_m,0.0
2014-02-01,eastern,0.0
2014-03-01,central,80.0
2014-03-01,western_m,0.0
2014-03-01,eastern,0.0
2014-04-01,central,23.0
2014-04-01,western_m,2.0
2014-04-01,eastern,0.0
2014-05-01,central,159.0
2014-05-01,western_m,0.0
2014-05-01,eastern,0.0
2014-06-01,central,84.0
2014-06-01,western_m,0.0
2014-06-01,eastern,0.0
2014-07-01,central,438.0
2014-07-01,western_m,1.0
2014-07-01,eastern,0.0
2014-08-01,central,357.0
2014-08-01,western_m,1.0
2014-08-01,eastern,0.0
2014-09-01,central,682.0
2014-09-01,western_m,0.0
2014-09-01,eastern,0.0
2014-10-01,central,605.0
2014-10-01,western_m,0.0
2014-10-01,eastern,0.0
2014-11-01,central,322.0
2014-11-01,western_m,0.0
2014-11-01,eastern,0.0
2014-12-01,central,352.0
2014-12-01,western_m,0.0
2014-12-01,eastern,0.0
2015-01-01,central,308.0
2015-01-01,western_m,0.0
2015-01-01,eastern,0.0
2015-02-01,central,495.0
2015-02-01,western_m,1.0
2015-02-01,eastern,0.0
2015-03-01,central,278.0
2015-03-01,western_m,0.0
2015-03-01,eastern,0.0
2015-04-01,central,269.0
2015-04-01,western_m,0.0
2015-04-01,eastern,0.0
2015-05-01,central,290.0
2015-05-01,western_m,0.0
2015-05-01,eastern,0.0
2015-06-01,central,280.0
2015-06-01,western_m,0.0
2015-06-01,eastern,0.0
2015-07-01,central,301.0
2015-07-01,western_m,2.0
2015-07-01,eastern,0.0
2015-08-01,central,298.0
2015-08-01,western_m,1.0
2015-08-01,eastern,0.0
2015-09-01,central,203.0
2015-09-01,western_m,0.0
2015-09-01,eastern,0.0
2015-10-01,central,82.0
2015-10-01,western_m,0.0
2015-10-01,eastern,0.0
2015-11-01,central,155.0
2015-11-01,western_m,0.0
2015-11-01,eastern,0.0
2015-12-01,central,122.0
2015-12-01,western_m,0.0
2015-12-01,eastern,0.0
2016-01-01,central,226.0
2016-01-01,western_m,3.0
2016-01-01,eastern,528.0
2016-02-01,central,267.0
2016-02-01,western_m,1.0
2016-02-01,eastern,424.0
2016-03-01,central,209.0
2016-03-01,western_m,0.0
2016-03-01,eastern,511.0
2016-04-01,central,257.0
2016-04-01,western_m,0.0
2016-04-01,eastern,406.0
2016-05-01,central,183.0
2016-05-01,western_m,1.0
2016-05-01,eastern,389.0
2016-06-01,central,420.0
2016-06-01,western_m,0.0
2016-06-01,eastern,294.0
2016-07-01,central,301.0
2016-07-01,western_m,0.0
2016-07-01,eastern,539.0
2016-08-01,central,321.0
2016-08-01,western_m,0.0
2016-08-01,eastern,252.0
2016-09-01,central,155.0
2016-09-01,western_m,1.0
2016-09-01,eastern,380.0
2016-10-01,central,236.0
2016-10-01,western_m,0.0
2016-10-01,eastern,349.0
2016-11-01,central,299.0
2016-11-01,western_m,0.0
2016-11-01,eastern,197.0
2016-12-01,central,459.0
2016-12-01,western_m,0.0
2016-12-01,eastern,192.0
2017-01-01,central,207.0
2017-01-01,western_m,0.0
2017-01-01,eastern,113.0
2017-02-01,central,137.0
2017-02-01,western_m,0.0
2017-02-01,eastern,88.0
